tax_id,original_name,matched_candidate_name,matched_fein
0046,SEMPLE MARCHAL AND COOPER LLP,"Semple, Marchal & Cooper LLP",860750046
0047,NOVELVOX NA INC,novelvox na inc,813570047
0047,"SYNTHEX, INC.","SyntheX, Inc.",611780047
0047,TOTAL SOCCER SOLUTIONS LLC,"TOTAL SOCCER SOLUTIONS, LLC",472190047
0047,MINDFUL TECH SOLUTIONS INC,"Mindful Tech Solutions, Inc.",873960047
0047,AMERICA EVANGELICAL UNIVERSITY,,
0048,SCOR GLOBAL LIFE AMERICAS REINSURA,SCOR GLOBAL LIFE AMERICAS REINSURANCE CO,756020048
0048,BOEING ENCORE INTERIORS LLC,,
0048,EVENUP INC,,
0048,ALPHACORE INC,"Alphacore, Inc.",460900048
0049,"LMHN, LTD.",LMHN LTD,371410049
0049,GALAXY SOLUTIONS INC,Galaxy Solutions Inc,030420049
0049,SPARK SERVICES DBA BUILD GROUP INC,Spark Services,260210049
0049,KGP TELECOMMUNICATIONS LLC,,
0049,RELYANCE INC,Relyance Inc,844720049
0049,CODAMETRIX INC,Codametrix INC,872100049
0049,DAVID GABRIEL ENTERPRISE INC D B A BARKER CONSULTING NYC,David Gabriel Enterprise Inc.,832350049
0050,DBRS INC,,
0050,SWIFT SOLUTIONS INC,Swift Solutions Inc,203000050
0050,IBM GLOBAL SYSTEMS INC,IBM Global Systems Inc,300550050
0050,FULGENT THERAPEUTICS LLC,"Fulgent Therapeutics, LLC",320400050
0050,INFOHUB LLC,INFOHUB LLC,921610050
0050,GULDMANN INC,"Guldmann, Inc.",582360050
0050,HOME HEALTH AND HOSPICE CARE INC,,
0050,CAPITAL PARTNERS MANAGEMENT LLC,,
0050,MENASHA PACKAGING COMPANY LLC,"Menasha PackagingCompany, LLC",392040050
0051,JCMS INC,"JCMS, Inc.",223080051
0051,MITSUBISHI LOGISNEXT AMERICAS INC,Mitsubishi Logisnext Americas Inc.,341710051
0051,VENDOR DIRECT SOLUTIONS LLC,,
0052,INCLUDED HEALTH INC,Included Health Inc.,453580052
0052,CORE ITS LIMITED LIABILITY COMPANY,"Core ITS, LLC",472770052
0052,EXCELLIS HEALTH SOLUTIONS LLC,,
0052,UNITEC USA UNIVERSAL TECHNOLOGIES,,
0052,DEEBECON INC,DeeBeCon Inc,020490052
0052,NAPA ANALYTICS LLC,Napa Analytics LLC,814340052
0052,GREPFORCE LLC,Grepforce LLC,384230052
0053,NATIONAL RAILROAD PASSENGER CORPORATION AMTRAK,National Railroad Passenger Corporation,520910053
0053,TEXAS A AND M UNIVERSITY,,
0053,WEBER SCHOOL DISTRICT,,
0053,CWP CONSULTING,"CWP Consulting, Inc.",412060053
0053,VIRON TECHNOLOGIES INC,,
0053,FUSUS INC,,
0053,NESS USA INC,"Ness USA, Inc.",232920053
0053,ROSS-TARRANT INC DBA ROSS-TARRANT,RossTarrant Architects Inc,611110053
0053,AUTOLIV ASP INC,Autoliv ASP Inc.,363640053
0053,RELATED PARTNERS INC,"Related Partners, Inc.",133680053
0053,CSH GROUP INC DBA CLARK SCHAEFER HACKETT & CO,"CSH Group, Inc.",310800053
0054,MONTEFIORE ST LUKES CORNWALL,,
0054,TROY GRANITE INC DBA TROY GRANITE,,
0054,TURNER SCHOOL DISTRICT 43,,
0054,WEISS MANFREDI ARCHITECTS LLP,"WEISS MANFREDI ARCHITECTS, LLP",133650054
0054,CASCADIA HEALTH,,
0054,BUSINESS RISK PARTNERS INC,,
0055,APPTIUM TECHNOLOGIES LLC,Apptium Technologies LLC,472480055
0055,TASKRABBIT INC,"TaskRabbit, Inc.",263350055
0055,KRYTERION INC,,
0055,GURU WIRELESS INC,,
0055,MARS WRIGLEY CONFECTIONERY US LLC,"Mars Wrigley Confectionery US, LLC",208940055
0056,ANSCHUTZ ENTERTAINMENT GROUP INC,AEG,841260056
0056,DREAM IT GROUP INC,Dream IT Group Inc,883650056
0056,FRIDLEY PUBLIC SCHOOLS INDEPENDENT SCHOOL DISTRICT 14,Fridley Public Schools Independent School District 14,416000056
0056,FRIDLEY PUBLIC SCHOOLS INDEPENDENT,Fridley Public Schools Independent School District 14,416000056
0056,SCHINDLER ELEVATOR CORPORATION,Schindler Elevator Corporation,341270056
0057,TRIVION TECHNOLOGIES INC.,TRIVION TECHNOLOGIES INC,922880057
0057,LV SURGERY ASSOCIATES PLLC,,
0057,L AND L ORIGIN INC,L and L Origin Inc.,833220057
0057,SYNAPTIC MEDICAL CORP,,
0057,SHRIKAM SYSTEMS INC,ShriKam Systems Inc,921840057
0058,EUNICE PARK MD PLLC DBA AIREM PLASTIC SURGERY,,
0058,B-STOCK SOLUTIONS LLC,"B-Stock Solutions, LLC",264130058
0058,M D INFORMATION SYSTEMS INC DBA GOLEADS,,
0058,ZENNIFY INC,Zennify Inc. ,862120058
0058,SERVEMINNESOTA,,
0058,GLOBAL GEOLOGICA USA INC.,,
0059,WEB2MARKET INC,,
0059,THE LAYTON COMPANIES DBA LAYTON CO,The Layton Companies,870660059
0059,SAMOOHA INC,,
0059,RFID GLOBAL SOLUTION INC,,
0059,TITAN GLOBAL CAPITAL MANAGEMENT IN,,
0060,SPEAR EDUCATION LLC,,
0060,EUGENUS,"Eugenus, Inc.",900440060
0060,LANE COLLEGE,,
0060,CLOUD FEDERATIONS INC,Cloud Federations Inc,843880060
0060,KELLOGG USA LLC,Kellogg USA LLC,383020060
0060,ARTHUR J GALLAGHER SERVICE COMPANY LLC,"Arthur J. Gallagher Service Company, LLC",522200060
0060,SUSTAINABLE FORESTRY INITIATIVE INC,,
0061,MAS CHARTER SCHOOLS,MAS Charter School,453680061
0061,"R&R STUDIOS, LLC",,
0061,GUNVOR USA LLC,,
0061,CHILD GUIDANCE RESOURCE CENTERS INC,,
0061,CHILD GUIDANCE RESOURCE CENTERS IN,,
0061,VAN ECK ASSOCIATES CORPORATION,Van Eck Associates Corporation,133210061
0061,HAMMER TECHNOLOGIES INC,,
0061,MESSER LLC,Messer LLC,510120061
0061,EMPIRIX INC,"Empirix, Inc.",043530061
0061,MAKIM ARCHITECTURE INC,MAKIM ARCHITECTURE INC,811000061
0062,PROCESS AND DATA AUTOMATION LLC,,
0062,PROCESS & DATA AUTOMATION LLC,,
0063,AUTEL US INC,Autel US Inc,452320063
0063,NEWMARK COMPANY REAL ESTATE INC,"Newmark & Company Real Estate, Inc.",133640063
0063,ASC BRANDS LLC,,
0063,METWARE BIOTECHNOLOGY INC.,Metware Biotechnology Inc.,612030063
0063,"ABILITY MATTERS, LLC",Ability Matters LLC,263290063
0063,SYSWISE LLC,SYSWISE LLC,462410063
0063,NEWMARK AND COMPANY REAL ESTATE IN,"Newmark & Company Real Estate, Inc.",133640063
0063,EITAN MEDICAL NORTH AMERICA INC,"Eitan Group North America, Inc.",834420063
0064,INTEGRATED ILLUMINATION SYSTEMS INC D/B/A I2 SYSTEMS,"Integrated Illumination Systems, Inc.",300240064
0064,VOLKSWAGEN ADMT LLC,"Volkswagen ADMT, LLC",922400064
0064,APPVANCE INC,,
0064,TRISOFT IT SOLUTIONS LLC,,
0064,SJA GROUP INC,,
0064,PRUDENT ENGINEERING LLP,,
0064,MONEYGRAM INTERNATIONAL INC,"MoneyGram International, Inc.",161690064
0064,AUSTIN INDEPENDENT SCHOOL DISTRICT,Ava School LLC,825200064
0064,ORIGIN DIGITAL LLC,,
0064,ONSET COMPUTER CORPORATION,,
0064,COLLEGE FOR CREATIVE STUDIES,,
0065,REVERSELOGIX CORP,,
0065,ROTH AND COMPANY LLP,ROTH & COMPANY LLP,113360065
0065,CAPITAL FARM CREDIT FLCA,"Capital Farm Credit, FLCA",741110065
0065,ROTH COMPANY LLP,ROTH & COMPANY LLP,113360065
0065,MANN BROTHERS HOLDINGS LLC,,
0066,INSPIRA FINANCIAL TRUST LLC,"Inspira Financial, LLC",364400066
0066,IP VIDEO MARKET INFO INC,"IP Video Market Info, Inc.",271360066
0066,ONELIN CAPITAL CORPORATION,Onelin Capital Corporation,475130066
0066,ANDRO COMPUTATIONAL SOLUTIONS LLC,"ANDRO Computational Solutions, LLC",043730066
0066,INAI NORTH AMERICA INC,,
0066,MAK PHARMA USA LLC,,
0066,FIVE TOWN HEALTH ALLIANCE INC DBA MOUNTAIN COMMUNITY HEALTH,,
0067,BLOCK TOWER CAPITAL ADVISORS LP,BlockTower Capital Advisors LP,822600067
